Date,USD,EUR,GBP,INR,AED,CNY
1980-12-31,614.5,378.19461,263.80259,4831.74943,2278.3679500000003,
1981-12-31,459.26,360.90588,227.01948,3966.6479,1691.03194,
1982-12-31,375.3,345.59742,215.53232,3553.6268,1378.7289500000002,
1983-12-30,423.66,439.89318,279.24936,4270.42821,1557.4579,
1984-12-31,360.78,425.91,269.81553,4067.60433,1324.7227200000002,
1985-12-31,317.3,394.08922,246.28501,3887.3927,1162.1977800000002,926.6451800000001
1986-12-31,367.85,351.34774,251.12483,4625.0699,1351.9247400000002,1272.3885400000001
1987-12-31,446.22,366.06607,272.49236,5761.91787,1641.52338,1659.6001500000002
1988-12-30,436.86,352.12732,245.62804,6039.39391,1603.97099,1626.1203400000002
1989-12-29,380.82,325.48985,232.74627,6148.71301,1399.8051600000001,1434.3058500000002
1990-12-31,383.56,282.94628,215.96014,6697.62037,1407.79204,1827.11273
1991-12-31,362.26,278.4072,205.50722,8225.7496,1329.5838600000002,1927.40253
1992-12-31,343.95,253.37085,195.54612,9636.93952,1262.9233900000002,1902.41839
1993-12-31,359.82,301.327,239.71266,11203.55009,1322.04967,2077.1915900000004
1994-12-30,384.15,319.36006,250.80356,12051.8481,1396.444,3306.27489
1995-12-29,384.05,291.93644,243.34273,12439.2634,1410.56247,3206.9274
1996-12-31,387.87,300.88347,248.89782,13721.3606,1424.56482,3224.913
1997-12-31,331.29,292.48136,202.37806,12006.0735,1216.71937,2746.44528
1998-12-31,294.09,264.28112,177.46076,12132.6106,1080.16664,2434.72504
1999-12-31,278.57,261.4,172.11,11996.34,1023.13,2306.1
2000-12-29,279.1,302.84,184.37,12534.36,1025.13,2310.52
2001-12-31,271.04,302.79,188.23,12789.03,995.52,2243.38
2002-12-31,309.68,327.99,206.12,15048.42,1137.45,2563.18
2003-12-31,363.32,321.17,222.2,16905.93,1334.46,3007.23
2004-12-31,409.17,329.09,223.32,18540.86,1502.93,3386.58
2005-12-30,444.45,358.31,244.84,19615.44,1632.49,3639.51
2006-12-29,603.77,480.46,327.62,27373.71,2217.63,4813.32
2007-12-31,695.39,506.75,346.98,28688.14,2553.61,5284.8
2008-12-31,871.96,593.18,471.75,37761.76,3202.61,6064.43
2009-12-31,972.35,696.88,621.11,47005.72,3571.4,6642.61
2010-12-31,1224.52,925.07,792.32,55973.95,4497.58,8283.04
2011-12-30,1571.52,1129.72,980.64,73468.52,5772.16,10147.64
2012-12-31,1668.98,1298.4,1052.89,89057.53,6130.18,10530.5
2013-12-31,1411.23,1063.6,903.71,82241.61,5183.46,8684.25
2014-12-31,1266.4,952.91,768.23,77229.8,4651.52,7802.03
2015-12-31,1160.06,1045.18,758.88,74313.04,4260.9,7285.1
2016-12-30,1250.8,1129.1,926.96,84006.9,4594.17,8305.79
2017-12-29,1257.15,1114.23,976.15,81853.62,4617.43,8487.15
2018-12-31,1268.49,1073.57,949.69,86650.56,4659.14,8384.07
2019-12-31,1392.6,1244.88,1092.96,98093.13,5114.98,9634.88
2020-12-31,1769.59,1549.04,1379.05,131202.92,6499.7,12199.77
2021-12-31,1798.61,1520.66,1307.47,132985.88,6606.3,11601.97
2022-12-30,1800.09,1710.39,1457.88,141287.27,6611.71,12096.88
