Kernel,Gamma,C,MSE,R2
rbf,scale,0.1,23633610574.76509,-151.5879194781706
rbf,scale,1.0,23384990067.55921,-149.98272733818249
rbf,scale,10.0,22734813994.22162,-145.78493394511537
poly,scale,0.1,7413676875.425462,-46.86562453188936
poly,scale,1.0,7404566465.399235,-46.806804128333276
poly,scale,10.0,7386755198.977754,-46.69180756113811
sigmoid,scale,0.1,23661709679.210007,-151.76933838887342
sigmoid,scale,1.0,23661709679.210007,-151.76933838887342
sigmoid,scale,10.0,23661709679.210007,-151.76933838887342
